#,Country (or dependency),Population (2023),Yearly Change,Net Change,Density  (P/Km²),Land Area  (Km²),Migrants (net),Fert. Rate,Med. Age,Urban Pop %,World Share
1,India,1428627663,0.81%,11454490,481,2973190,-486136,1.999,28,36.30%,17.80%
2,China,1425671352,-0.02%,-215985,152,9388211,-310220,1.19,39,65%,17.70%
3,United States,339996563,0.50%,1706706,37,9147420,999700,1.662,38,82.90%,4.20%
4,Indonesia,277534122,0.74%,2032783,153,1811570,-49997,2.134,30,59.10%,3.40%
5,Pakistan,240485658,1.98%,4660796,312,770880,-165988,3.347,21,34.70%,3%
6,Nigeria,223804632,2.41%,5263420,246,910770,-59996,5.063,17,53.90%,2.80%
7,Brazil,216422446,0.52%,1108948,26,8358140,6000,1.621,34,88.40%,2.70%
8,Bangladesh,172954319,1.03%,1767947,1329,130170,-309977,1.936,27,40.90%,2.10%
9,Russia,144444359,-0.19%,-268955,9,16376870,-136414,1.522,39,74.70%,1.80%
10,Mexico,128455567,0.75%,951442,66,1943950,-50239,1.79,30,87.80%,1.60%
11,Ethiopia,126527060,2.55%,3147136,127,1000000,-11999,3.976,19,22.10%,1.60%
12,Japan,123294513,-0.53%,-657179,338,364555,99994,1.315,49,93.50%,1.50%
13,Philippines,117337368,1.54%,1778359,394,298170,-69996,2.69,25,47.10%,1.50%
14,Egypt,112716598,1.56%,1726495,113,995450,-29998,2.845,24,41.30%,1.40%
15,DR Congo,102262808,3.29%,3252596,45,2267050,-14999,6.051,16,45.50%,1.30%
16,Vietnam,98858950,0.68%,672094,319,310070,-82700,1.933,33,40.40%,1.20%
17,Iran,89172767,0.70%,622197,55,1628550,-39998,1.677,33,74.20%,1.10%
18,Turkey,85816199,0.56%,474958,112,769630,-318067,1.863,32,77.10%,1.10%
19,Germany,83294633,-0.09%,-75210,239,348560,155751,1.534,45,77.10%,1%
20,Thailand,71801279,0.15%,104249,141,510890,18999,1.316,40,52%,0.90%
21,United Kingdom,67736802,0.34%,227866,280,241930,165790,1.57,40,85.50%,0.80%
22,Tanzania,67438106,2.96%,1940358,76,885800,-39997,4.588,17,38%,0.80%
23,France,64756584,0.20%,129956,118,547557,67761,1.786,42,83.90%,0.80%
24,South Africa,60414495,0.87%,520610,50,1213090,58496,2.317,28,69%,0.80%
25,Italy,58870762,-0.28%,-166712,200,294140,58496,1.301,48,71.90%,0.70%
26,Kenya,55100586,1.99%,1073099,97,569140,-10000,3.24,20,30.70%,0.70%
27,Myanmar,54577997,0.74%,398691,84,653290,-34998,2.117,30,33%,0.70%
28,Colombia,52085168,0.41%,211144,47,1109500,-175051,1.689,32,81%,0.60%
29,South Korea,51784059,-0.06%,-31751,533,97230,29998,0.883,44,81.70%,0.60%
30,Uganda,48582334,2.82%,1332749,243,199810,-126181,4.357,16,28.60%,0.60%
31,Sudan,48109006,2.63%,1234802,27,1765048,-9999,4.323,19,35.30%,0.60%
32,Spain,47519628,-0.08%,-39002,95,498800,39998,1.294,45,79.60%,0.60%
33,Argentina,45773884,0.58%,263566,17,2736690,3718,1.862,32,94.30%,0.60%
34,Algeria,45606480,1.57%,703255,19,2381740,-9999,2.767,28,74.60%,0.60%
35,Iraq,45504560,2.27%,1008438,105,434320,-6000,3.397,20,70.60%,0.60%
36,Afghanistan,42239854,2.70%,1111083,65,652860,-65846,4.407,17,25.90%,0.50%
37,Poland,41026067,2.93%,1168922,134,306230,-910475,1.468,40,55.20%,0.50%
38,Canada,38781291,0.85%,326964,4,9093510,249746,1.469,41,81.40%,0.50%
39,Morocco,37840044,1.02%,382073,85,446300,-39998,2.274,29,65.90%,0.50%
40,Saudi Arabia,36947025,1.48%,538205,17,2149690,28998,2.358,31,83.50%,0.50%
41,Ukraine,36744634,-7.45%,-2957105,63,579320,1784718,1.281,45,81.90%,0.50%
42,Angola,36684202,3.08%,1095215,29,1246700,-1000,5.124,16,67.60%,0.50%
43,Uzbekistan,35163944,1.55%,536292,83,425400,-19999,2.755,27,49.50%,0.40%
44,Yemen,34449825,2.24%,753211,65,527970,-29914,3.64,19,37.30%,0.40%
45,Peru,34352719,0.89%,303131,27,1280000,-61442,2.144,29,79.10%,0.40%
46,Malaysia,34308525,1.09%,370304,104,328550,48997,1.774,31,78.30%,0.40%
47,Ghana,34121985,1.93%,646115,150,227540,-9999,3.455,21,56.70%,0.40%
48,Mozambique,33897354,2.81%,927836,43,786380,-5000,4.478,17,40.20%,0.40%
49,Nepal,30896590,1.14%,349010,216,143350,-62012,1.987,24,22.10%,0.40%
50,Madagascar,30325732,2.41%,714018,52,581795,-1500,3.734,19,40%,0.40%
51,Côte d'Ivoire,28873034,2.53%,712492,91,318000,6000,4.288,18,51.90%,0.40%
52,Venezuela,28838499,1.90%,536803,33,882050,321106,2.171,28,N.A.,0.40%
53,Cameroon,28647293,2.63%,732757,61,472710,-4800,4.302,18,57.90%,0.40%
54,Niger,27202843,3.80%,994866,21,1266700,1000,6.668,15,16.90%,0.30%
55,Australia,26439111,1%,261698,3,7682300,139991,1.6,38,86.10%,0.30%
56,North Korea,26160821,0.35%,91405,217,120410,-2000,1.79,36,63.20%,0.30%
57,Taiwan,23923276,0.13%,29882,676,35410,23999,1.15,42,80.20%,0.30%
58,Mali,23293698,3.10%,700108,19,1220190,-39998,5.787,15,43.90%,0.30%
59,Burkina Faso,23251485,2.55%,577723,85,273600,-24998,4.566,17,31.80%,0.30%
60,Syria,23227014,4.98%,1101765,126,183630,757103,2.673,22,53.10%,0.30%
61,Sri Lanka,21893579,0.28%,61436,349,62710,-77495,1.959,33,18.70%,0.30%
62,Malawi,20931751,2.58%,526434,222,94280,-6000,3.791,17,19.30%,0.30%
63,Zambia,20569737,2.76%,552062,28,743390,-5000,4.179,17,45.90%,0.30%
64,Romania,19892812,1.19%,233545,86,230170,-254616,1.742,41,52.50%,0.20%
65,Chile,19629590,0.13%,25857,26,743532,-71205,1.529,36,84.60%,0.20%
66,Kazakhstan,19606633,1.08%,208635,7,2699700,0,3.024,30,57.30%,0.20%
67,Chad,18278568,3.13%,555253,15,1259200,-2000,6.12,15,23.70%,0.20%
68,Ecuador,18190484,1.05%,189484,73,248360,-21525,1.995,28,64.20%,0.20%
69,Somalia,18143378,3.10%,545867,29,627340,-30000,6.098,15,46.50%,0.20%
70,Guatemala,18092026,1.39%,248118,169,107160,-9110,2.318,23,55.50%,0.20%
71,Senegal,17763163,2.58%,446714,92,192530,-19999,4.252,18,51.90%,0.20%
72,Netherlands,17618299,0.31%,54285,522,33720,29998,1.638,42,91.60%,0.20%
73,Cambodia,16944826,1.06%,176984,96,176520,-29998,2.281,27,26.20%,0.20%
74,Zimbabwe,16665409,2.11%,344872,43,386850,-9999,3.385,18,36.70%,0.20%
75,Guinea,14190612,2.39%,331271,58,245720,-4000,4.217,18,39.80%,0.20%
76,Rwanda,14094683,2.31%,317985,571,24670,-8999,3.692,19,17.70%,0.20%
77,Benin,13712828,2.70%,359964,122,112760,-200,4.818,18,47.90%,0.20%
78,Burundi,13238559,2.71%,348983,516,25680,2000,4.878,16,14.60%,0.20%
79,Tunisia,12458223,0.83%,102106,80,155360,-4000,2.042,32,69.30%,0.20%
80,Bolivia,12388571,1.35%,164461,11,1083300,-3000,2.547,24,69.20%,0.20%
81,Haiti,11724763,1.21%,139767,425,27560,-31811,2.733,23,59.80%,0.10%
82,Belgium,11686140,0.26%,30210,386,30280,23999,1.592,41,98.70%,0.10%
83,Jordan,11337052,0.45%,51183,128,88780,-157392,2.745,24,85%,0.10%
84,Dominican Republic,11332972,0.93%,104151,235,48320,-29099,2.212,28,85.20%,0.10%
85,Cuba,11194449,-0.16%,-17742,105,106440,-6000,1.457,41,79.70%,0.10%
86,South Sudan,11088796,1.61%,175632,18,610952,-23291,4.251,17,28%,0.10%
87,Sweden,10612086,0.59%,62739,26,410340,39998,1.669,40,86.30%,0.10%
88,Honduras,10593798,1.54%,160938,95,111890,-5034,2.306,24,57.80%,0.10%
89,Czech Republic (Czechia),10495295,0.01%,1309,136,77240,22011,1.698,43,75.50%,0.10%
90,Azerbaijan,10412651,0.53%,54577,126,82658,0,1.652,32,57.10%,0.10%
91,Greece,10341277,-0.42%,-43694,80,128900,5000,1.375,45,85.90%,0.10%
92,Papua New Guinea,10329931,1.85%,187312,23,452860,-800,3.099,22,12.30%,0.10%
93,Portugal,10247605,-0.23%,-23260,112,91590,9999,1.371,46,67%,0.10%
94,Hungary,10156239,1.90%,188931,112,90530,-156677,1.58,42,68.30%,0.10%
95,Tajikistan,10143543,1.92%,190756,72,139960,-19999,3.096,22,27.90%,0.10%
96,United Arab Emirates,9516871,0.80%,75742,114,83600,0,1.437,34,94%,0.10%
97,Belarus,9498238,-0.39%,-36716,47,202910,-4282,1.508,41,79.50%,0.10%
98,Israel,9174520,1.51%,136211,424,21640,9999,2.917,29,92.10%,0.10%
99,Togo,9053799,2.32%,205100,166,54390,-2000,4.136,19,44.20%,0.10%
100,Austria,8958960,0.22%,19343,109,82409,19999,1.48,43,58.70%,0.10%
101,Switzerland,8796669,0.64%,56197,223,39516,39998,1.502,42,74.60%,0.10%
102,Sierra Leone,8791092,2.15%,185374,122,72180,-4000,3.791,19,43%,0.10%
103,Laos,7633779,1.39%,104304,33,230800,-9999,2.408,24,37.30%,0.10%
104,Hong Kong,7491609,0.04%,2744,7135,1050,19999,0.771,46,N.A.,0.10%
105,Serbia,7149077,-1%,-72288,82,87460,-9999,1.528,43,68.80%,0.10%
106,Nicaragua,7046310,1.41%,97918,59,120340,-8000,2.252,25,56.10%,0.10%
107,Libya,6888388,1.12%,76047,4,1759540,-2000,2.355,27,81.70%,0.10%
108,Paraguay,6861524,1.19%,80780,17,397300,-12499,2.422,26,67.30%,0.10%
109,Kyrgyzstan,6735347,1.58%,104724,35,191800,-9999,2.907,24,36.70%,0.10%
110,Bulgaria,6687717,-1.39%,-94236,62,108560,-4800,1.594,45,77.90%,0.10%
111,Turkmenistan,6516100,1.33%,85330,14,469930,-4000,2.58,26,52%,0.10%
112,El Salvador,6364943,0.45%,28551,307,20720,-23249,1.775,27,77.90%,0.10%
113,Congo,6106869,2.29%,136445,18,341500,-1000,4.034,18,69.50%,0.10%
114,Singapore,6014723,0.65%,39034,8592,700,26998,1.043,43,N.A.,0.10%
115,Denmark,5910913,0.49%,28652,139,42430,19999,1.718,41,87.80%,0.10%
116,Slovakia,5795199,2.69%,151746,121,48088,-112067,1.574,40,50.80%,0.10%
117,Central African Republic,5742315,2.92%,163171,9,622980,-14716,5.83,15,39.90%,0.10%
118,Finland,5545475,0.09%,4730,18,303890,13999,1.399,43,87.20%,0.10%
119,Norway,5474360,0.74%,40041,15,365268,27998,1.512,40,86%,0.10%
120,Liberia,5418377,2.18%,115696,56,96320,-5000,3.95,18,54.30%,0.10%
121,State of Palestine,5371230,2.31%,121158,892,6020,-5000,3.379,20,82.90%,0.10%
122,Lebanon,5353930,-2.47%,-135809,523,10230,-177331,2.058,29,96.60%,0.10%
123,New Zealand,5228100,0.83%,42812,20,263310,12999,1.758,37,82.40%,0.10%
124,Costa Rica,5212173,0.60%,31344,102,51060,3750,1.518,34,82%,0.10%
125,Ireland,5056935,0.67%,33826,73,68890,9999,1.762,38,63.70%,0.10%
126,Mauritania,4862989,2.68%,126850,5,1030700,3000,4.272,18,61.20%,0.10%
127,Oman,4644384,1.49%,68086,15,309500,0,2.522,29,N.A.,0.10%
128,Panama,4468087,1.35%,59506,60,74340,7262,2.276,29,69.60%,0.10%
129,Kuwait,4310108,0.97%,41235,242,17820,11999,2.066,40,N.A.,0.10%
130,Croatia,4008617,-0.54%,-21741,72,55960,-2000,1.448,44,59.10%,0%
131,Eritrea,3748901,1.76%,64869,37,101000,-15297,3.713,19,67%,0%
132,Georgia,3728282,-0.43%,-16103,54,69490,-9999,2.051,37,62.90%,0%
133,Mongolia,3447157,1.44%,48791,2,1553560,-850,2.715,27,66.70%,0%
134,Moldova,3435931,4.98%,162935,105,32850,-125204,1.797,35,50.20%,0%
135,Uruguay,3423108,0.01%,314,20,175020,-1500,1.481,36,98.70%,0%
136,Puerto Rico,3260314,0.24%,7907,368,8870,19835,1.281,44,N.A.,0%
137,Bosnia and Herzegovina,3210847,-0.70%,-22679,63,51000,-500,1.34,42,54.40%,0%
138,Albania,2832439,-0.35%,-9882,103,27400,-8000,1.371,38,67.20%,0%
139,Jamaica,2825544,-0.06%,-1833,261,10830,-10999,1.337,32,59.50%,0%
140,Armenia,2777970,-0.09%,-2499,98,28470,-5000,1.579,35,67.40%,0%
141,Gambia,2773168,2.48%,67176,274,10120,-3000,4.504,17,58%,0%
142,Lithuania,2718352,-1.15%,-31703,43,62674,-13128,1.63,44,71.10%,0%
143,Qatar,2716391,0.79%,21269,234,11610,0,1.773,34,N.A.,0%
144,Botswana,2675352,1.71%,45056,5,566730,3000,2.716,24,69.10%,0%
145,Namibia,2604172,1.45%,37160,3,823290,-3916,3.212,21,60.30%,0%
146,Gabon,2436566,1.99%,47574,9,257670,1000,3.39,22,85.30%,0%
147,Lesotho,2330318,1.06%,24493,77,30360,-4000,2.943,22,31.40%,0%
148,Guinea-Bissau,2150842,2.15%,45276,76,28120,-1400,3.84,19,45.30%,0%
149,Slovenia,2119675,-0.01%,-169,105,20140,2000,1.631,44,55%,0%
150,North Macedonia,2085679,-0.38%,-7920,83,25220,-1000,1.379,39,59.60%,0%
151,Latvia,1830211,-1.10%,-20440,29,62200,-7630,1.584,44,69.10%,0%
152,Equatorial Guinea,1714671,2.37%,39763,61,28050,4000,4.081,21,67%,0%
153,Trinidad and Tobago,1534937,0.25%,3893,299,5130,-800,1.602,36,48.10%,0%
154,Bahrain,1485509,0.90%,13276,1955,760,0,1.785,34,N.A.,0%
155,Timor-Leste,1360596,1.44%,19300,91,14870,-5000,2.96,21,35.10%,0%
156,Estonia,1322765,-0.25%,-3297,31,42390,-1000,1.676,42,68%,0%
157,Mauritius,1300557,0.08%,1088,641,2030,0,1.385,37,40.20%,0%
158,Cyprus,1260138,0.69%,8650,136,9240,5000,1.311,39,65.50%,0%
159,Eswatini,1210822,0.76%,9152,70,17200,-5268,2.75,22,30.90%,0%
160,Djibouti,1136455,1.39%,15606,49,23180,900,2.72,24,72%,0%
161,Réunion,981796,0.80%,7744,393,2500,-630,2.198,34,93.10%,0%
162,Fiji,936375,0.71%,6609,51,18270,-3289,2.437,27,59%,0%
163,Comoros,852075,1.83%,15301,458,1861,-2000,3.846,20,32.80%,0%
164,Guyana,813834,0.63%,5108,4,196850,-3900,2.348,26,26.80%,0%
165,Bhutan,787424,0.64%,4969,21,38117,300,1.39,29,48.50%,0%
166,Solomon Islands,740424,2.23%,16151,26,27990,-1600,3.87,19,24%,0%
167,Macao,704149,1.29%,8981,23472,30,5000,1.13,39,96.80%,0%
168,Luxembourg,654768,1.11%,7169,253,2590,4883,1.4,39,88.10%,0%
169,Montenegro,626485,-0.10%,-597,47,13450,-480,1.67,39,68.80%,0%
170,Suriname,623236,0.84%,5196,4,156000,-1000,2.294,28,63%,0%
171,Cabo Verde,598682,0.93%,5533,149,4030,-1227,1.858,27,66.80%,0%
172,Western Sahara,587259,1.96%,11273,2,266000,5600,2.246,32,94.90%,0%
173,Micronesia,544321,0.98%,5308,778,700,-1642,2.743,26,71.30%,0%
174,Malta,535064,0.33%,1778,1672,320,850,1.215,40,77.60%,0%
175,Maldives,521021,-0.53%,-2766,1737,300,-8652,1.666,32,38.50%,0%
176,Brunei,452524,0.78%,3522,86,5270,0,1.747,33,80.40%,0%
177,Bahamas,412623,0.64%,2639,41,10010,1000,1.374,33,84.70%,0%
178,Belize,410825,1.37%,5553,18,22810,600,1.98,26,47.80%,0%
179,Guadeloupe,395839,0.02%,87,234,1690,-800,2.018,42,N.A.,0%
180,Iceland,375318,0.65%,2419,4,100250,380,1.72,36,87.80%,0%
181,Martinique,366981,-0.14%,-526,346,1060,-650,1.899,47,93.70%,0%
182,Mayotte,335995,3.03%,9894,896,375,0,4.302,17,39.70%,0%
183,Vanuatu,334506,2.38%,7766,27,12190,0,3.656,20,24.20%,0%
